epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1093.85,0.27488,1.02706,0.15067,0.84901,0.78695,0.81014,0.7468,0.1398,0.35463,0.08894,0.00111056,0.00111056,0.00111056
2,2156.7,0.21167,0.48037,0.09988,0.85574,0.81325,0.8214,0.76125,0.13115,0.35256,0.09183,0.000833278,0.000833278,0.000833278
3,3226.91,0.18706,0.42708,0.08572,0.86466,0.837,0.84505,0.79579,0.1179,0.29886,0.0798,0.000277833,0.000277833,0.000277833
