epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,461.495,0.8808,1.46071,0.59725,0.6114,0.35012,0.26767,0.21577,0.20597,0.90527,0.14314,0.000370042,0.000370042,0.000370042
2,901.142,0.33917,0.85845,0.16546,0.56573,0.4025,0.3785,0.32925,0.16068,0.70317,0.10556,0.000670383,0.000670383,0.000670383
3,1335.39,0.27545,0.75155,0.13096,0.68517,0.60346,0.59079,0.54593,0.14417,0.51062,0.0984,0.000730806,0.000730806,0.000730806
4,1767.38,0.2468,0.64394,0.11435,0.69129,0.61242,0.59334,0.55651,0.13696,0.47345,0.09499,0.000391113,0.000391113,0.000391113
5,2199.72,0.22454,0.56357,0.10519,0.77172,0.69736,0.67636,0.64145,0.13162,0.40586,0.09221,0.00011614,0.00011614,0.00011614
